Item,Frequency,Category
sorrow wrung,1,Dance-Related
weary woman sleeps so,1,Dance-Related
weary woman sleeps so hard,1,Dance-Related
cushioned place,1,Dance-Related
servants round,1,Dance-Related
feebly say,1,Short Phrase
music dies,1,Dance-Related
woman sleeps,1,Dance-Related
woman sleeps so hard,1,Dance-Related
sleeps so,1,Short Phrase
eyes cloud,1,Dance-Related
old eyes,1,Short Phrase
kindly neighbour,1,Short Phrase
says,1,Single Word
cushioned chair,1,Dance-Related
now lay,1,Short Phrase
weakly,1,Single Word
sure,1,Single Word
movin,1,Single Word
home,1,Single Word
fetch,1,Single Word
just,1,Single Word
cushions there,1,Short Phrase
used,1,Single Word
drew,1,Single Word
neighbour,1,Single Word
kindly,1,Single Word
dear,1,Single Word
bare,1,Single Word
frosty,1,Single Word
cushions here,1,Short Phrase
world once,1,Short Phrase
falls low,1,Short Phrase
filled full,1,Dance-Related
surely come,1,Short Phrase
home agin,1,Short Phrase
so now,1,Short Phrase
head falls,1,Dance-Related
ye little,1,Short Phrase
eyelids droop,1,Short Phrase
ancient cheer,1,Short Phrase
strange road,1,Short Phrase
drag,1,Single Word
huntsman here,1,Dance-Related
mutter,1,Single Word
bring hound,1,Short Phrase
saltin,1,Single Word
now leave,1,Short Phrase
gently up,1,Short Phrase
stables bring,1,Short Phrase
childer dear,1,Short Phrase
hound only lies apart,1,Long Phrase
only lies,1,Short Phrase
devils have,1,Short Phrase
small holes,1,Short Phrase
wore large,1,Short Phrase
wrung,1,Dance-Related
sigh,1,Single Word
large holes,1,Short Phrase
weep,1,Single Word
feebly,1,Single Word
sway,1,Dance-Related
wore small,1,Short Phrase
went up,1,Short Phrase
have peace,1,Short Phrase
peace now,1,Short Phrase
one died,1,Dance-Related
came keeners,1,Short Phrase
weeping score,1,Short Phrase
stands,1,Dance-Related
gazing,1,Single Word
smitten,1,Single Word
human keening,1,Dance-Related
dancing there,1,Dance-Related
bind,1,Single Word
gently astray,1,Short Phrase
men come,1,Short Phrase
strange men,1,Short Phrase
black cloud,1,Dance-Related
penal days,1,Short Phrase
bitter youth,1,Short Phrase
days rode,1,Short Phrase
wail,1,Single Word
goes dancing,1,Dance-Related
had free,1,Short Phrase
girl goes dancing there,1,Dance-Related
free lands,1,Dance-Related
own snipe,1,Short Phrase
girl goes,1,Dance-Related
trust took,1,Short Phrase
people came,1,Short Phrase
world round,1,Dance-Related
neighbour minded,1,Dance-Related
shore lines,1,Short Phrase
wintry head,1,Dance-Related
reproved,1,Single Word
dig,1,Single Word
lifts slow,1,Dance-Related
moments pass,1,Short Phrase
poor fisher,1,Short Phrase
deep commune,1,Short Phrase
holds deep,1,Dance-Related
weeping,1,Single Word
long day,1,Short Phrase
blessed moonlight,1,Short Phrase
smitten grass,1,Short Phrase
lies apart,1,Short Phrase
blind hound only lies apart,1,Long Phrase
pebbly street,1,Short Phrase
just born,1,Short Phrase
stayed,1,Single Word
large,1,Single Word
leading,1,Single Word
filled,1,Single Word
wasted,1,Single Word
pleasant,1,Single Word
came keening,1,Short Phrase
smooths,1,Single Word
young birds,1,Short Phrase
old birds,1,Short Phrase
cloud,1,Dance-Related
keening in,1,Short Phrase
took,1,Single Word
all reproved,1,Short Phrase
dig old,1,Short Phrase
old customs,1,Short Phrase
penal,1,Single Word
carry,1,Single Word
hounds wail,1,Short Phrase
servants bear,1,Short Phrase
blest,1,Single Word
floating,1,Single Word
dancers enwound,1,Dance-Related
shining web,1,Short Phrase
cares,1,Single Word
betray,1,Single Word
wretches,1,Single Word
imagine,1,Single Word
bred,1,Single Word
mate,1,Single Word
healthy,1,Single Word
exchange,1,Single Word
lost as,1,Short Phrase
afraid,1,Single Word
pitiful,1,Single Word
west,1,Single Word
as soon,1,Short Phrase
south,1,Single Word
best labourer,1,Short Phrase
norman,1,Dance-Related
unsought,1,Single Word
wild sake,1,Short Phrase
man now,1,Dance-Related
childish gratitude,1,Short Phrase
heart sang,1,Dance-Related
poor wretches,1,Short Phrase
lies have,1,Short Phrase
imagine lies,1,Short Phrase
labourer dead,1,Short Phrase
wild bird,1,Short Phrase
wildly bred,1,Short Phrase
salt drops,1,Short Phrase
persuade,1,Single Word
mistake,1,Single Word
ivory,1,Single Word
chanced,1,Single Word
matter,1,Single Word
strike,1,Single Word
kissed,1,Single Word
played,1,Single Word
arranged,1,Single Word
gleam,1,Single Word
bodily,1,Single Word
strangle,1,Single Word
though,1,Single Word
wound,1,Single Word
chosen,1,Single Word
was danced,1,Dance-Related
childish,1,Single Word
danced heart,1,Dance-Related
so gleam,1,Short Phrase
bodily movement,1,Dance-Related
black hair,1,Short Phrase
chosen youth,1,Short Phrase
image there,1,Dance-Related
ivory image,1,Dance-Related
ignorant,1,Single Word
rewarded,1,Single Word
thus,1,Single Word
ruined,1,Single Word
match,1,Single Word
so wildly,1,Short Phrase
young child,1,Short Phrase
turn away,1,Dance-Related
battle lost,1,Short Phrase
mice make,1,Short Phrase
more sound,1,Dance-Related
scaffolding reclines,1,Short Phrase
